model,family,n,detected_viral,recall,mean_proba
XGB,Flaviviridae,4,4,1.0,0.693664014339447
XGB,Iflaviridae,6,4,0.6666666666666666,0.6458772420883179
XGB,Mesoniviridae,4,0,0.0,0.22777341306209564
XGB,Peribunyaviridae,1,1,1.0,0.9998065829277039
XGB,Phasmaviridae,35,34,0.9714285714285714,0.9841112494468689
XGB,Phenuiviridae,5,5,1.0,0.9999143481254578
XGB,Rhabdoviridae,16,15,0.9375,0.9493283629417419
XGB,Togaviridae,5,0,0.0,0.169064000248909
XGB,Totiviridae,4,2,0.5,0.5890831351280212
XGB,Xinmoviridae,2,2,1.0,0.9994971752166748
XGB,ALL,82,67,0.8170731707317073,0.834075391292572
ET,Flaviviridae,4,2,0.5,0.5106452466492997
ET,Iflaviridae,6,5,0.8333333333333334,0.6240368113098363
ET,Mesoniviridae,4,0,0.0,0.38881451942275613
ET,Peribunyaviridae,1,1,1.0,0.8071257367555738
ET,Phasmaviridae,35,34,0.9714285714285714,0.7596473271729481
ET,Phenuiviridae,5,5,1.0,0.8622692289426288
ET,Rhabdoviridae,16,15,0.9375,0.5751773448855693
ET,Togaviridae,5,0,0.0,0.46851052848962665
ET,Totiviridae,4,4,1.0,0.6375695165030637
ET,Xinmoviridae,2,2,1.0,0.778291397078724
ET,ALL,82,68,0.8292682926829268,0.6670785278714156
