seqname	dsDNAphage	ssDNA	NCLDV	RNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NZ_JAFEVF010000051.1||full	0.833	0.027	0.260	0.240	0.213	0.833	dsDNAphage	4462	1	40.000	0.000
NM_001407350.1||full	0.320	0.987	0.727	0.715	0.927	0.987	ssDNA	1402	0	50.000	0.000
NM_001407347.1||full	0.407	0.900	nan	0.490	0.793	0.900	ssDNA	2062	0	33.300	0.000
XM_021855742.1||full	0.947	0.987	0.680	0.735	0.747	0.987	ssDNA	1369	0	50.000	0.000
XM_021855738.1||full	0.947	0.987	0.680	0.735	0.747	0.987	ssDNA	1369	0	50.000	0.000
XM_021855736.1||full	0.947	0.987	0.673	0.715	0.740	0.987	ssDNA	1369	0	50.000	0.000
XM_021855710.1||full	nan	nan	0.613	nan	nan	0.613	NCLDV	4691	0	50.000	0.000
XM_021855709.1||full	0.913	0.540	0.533	0.835	0.927	0.927	lavidaviridae	4701	0	50.000	0.000
XM_021855702.1||full	nan	nan	0.553	nan	nan	0.553	NCLDV	4560	0	50.000	0.000
XM_049683733.1||full	0.560	0.500	0.547	0.385	0.520	0.560	dsDNAphage	3254	0	33.300	0.000
XM_049683724.1||full	0.887	0.913	nan	0.420	0.527	0.913	ssDNA	1200	0	50.000	0.000
XM_049683716.1||full	0.887	0.913	nan	0.420	0.527	0.913	ssDNA	1200	0	50.000	0.000
XM_049683707.1||full	0.887	0.913	nan	0.420	0.527	0.913	ssDNA	1200	0	50.000	0.000
XM_049683699.1||full	0.267	0.680	0.373	0.170	0.460	0.680	ssDNA	2826	0	33.300	0.000
XM_049683689.1||full	0.633	0.520	0.393	0.335	0.507	0.633	dsDNAphage	3311	0	33.300	0.000
XM_049679728.1||full	0.427	1.000	nan	0.340	0.413	1.000	ssDNA	1452	0	50.000	0.000
XM_049679720.1||full	0.427	1.000	nan	0.335	0.420	1.000	ssDNA	1467	0	50.000	0.000
XM_049679712.1||full	0.427	1.000	nan	0.335	0.420	1.000	ssDNA	1467	0	50.000	0.000
XM_049679702.1||full	0.427	1.000	nan	0.330	0.427	1.000	ssDNA	1482	0	50.000	0.000
XM_049679693.1||full	0.347	0.993	nan	0.330	0.420	0.993	ssDNA	1497	0	50.000	0.000
XM_049679683.1||full	0.353	0.993	nan	0.325	0.420	0.993	ssDNA	1497	0	50.000	0.000
XM_049679673.1||full	0.353	0.993	nan	0.320	0.420	0.993	ssDNA	1527	0	50.000	0.000
XM_049679663.1||full	0.353	0.993	nan	0.315	0.420	0.993	ssDNA	1527	0	50.000	0.000
XM_049679654.1||full	0.347	1.000	nan	0.320	0.420	1.000	ssDNA	1542	0	50.000	0.000
XM_049679645.1||full	0.360	1.000	nan	0.310	0.420	1.000	ssDNA	1557	0	50.000	0.000
XM_049679636.1||full	0.360	1.000	nan	0.305	0.420	1.000	ssDNA	1557	0	50.000	0.000
XM_049679627.1||full	0.353	0.993	nan	0.315	0.427	0.993	ssDNA	1572	0	50.000	0.000
XM_049679618.1||full	0.247	0.933	nan	0.310	0.427	0.933	ssDNA	1602	0	50.000	0.000
XM_049679608.1||full	0.247	0.927	nan	0.300	0.427	0.927	ssDNA	1602	0	50.000	0.000
XM_049679599.1||full	0.253	0.920	nan	0.310	0.427	0.920	ssDNA	1632	0	50.000	0.000
XM_049674627.1||full	nan	nan	0.533	nan	nan	0.533	NCLDV	4220	0	50.000	0.000
XM_049674618.1||full	nan	nan	0.533	nan	nan	0.533	NCLDV	4235	0	50.000	0.000
XM_049674609.1||full	nan	nan	0.533	nan	nan	0.533	NCLDV	4235	0	50.000	0.000
XM_049674599.1||full	nan	nan	0.533	nan	nan	0.533	NCLDV	4235	0	50.000	0.000
XM_049691751.1||full	0.460	0.560	nan	0.425	0.753	0.753	lavidaviridae	8047	0	50.000	0.000
XM_049691489.1||full	nan	nan	0.627	nan	nan	0.627	NCLDV	6217	0	50.000	0.000
XM_049691488.1||full	0.560	0.607	nan	0.630	0.833	0.833	lavidaviridae	6809	0	50.000	0.000
XM_049691430.1||full	0.500	0.980	0.660	0.695	0.947	0.980	ssDNA	1343	0	50.000	0.000
XM_049691080.1||full	0.760	0.993	nan	0.740	0.973	0.993	ssDNA	1633	0	50.000	0.000
XM_049691079.1||full	0.733	0.987	nan	0.475	0.740	0.987	ssDNA	1756	0	50.000	0.000
XM_085037420.1||full	0.427	0.227	0.227	0.325	0.920	0.920	lavidaviridae	5217	0	25.000	0.000
XM_085037419.1||full	0.407	0.193	0.273	0.345	0.913	0.913	lavidaviridae	5382	0	25.000	0.000
XM_085036846.1||full	0.360	0.867	nan	0.585	0.793	0.867	ssDNA	1512	0	50.000	0.000
XM_085035930.1||full	0.340	0.467	nan	0.425	0.900	0.900	lavidaviridae	3606	0	33.300	0.000
XM_085035929.1||full	0.320	0.640	nan	0.400	0.927	0.927	lavidaviridae	3850	0	50.000	0.000
XM_085035928.1||full	0.360	0.407	nan	0.405	0.887	0.887	lavidaviridae	4056	0	33.300	0.000
XM_085035927.1||full	0.360	0.400	nan	0.405	0.887	0.887	lavidaviridae	4236	0	33.300	0.000
XM_052711241.1||full	0.780	0.860	0.620	0.620	0.787	0.860	ssDNA	6402	0	100.000	0.000
XM_039582545.2||full	0.633	0.373	0.440	0.700	0.787	0.787	lavidaviridae	6613	0	50.000	0.000
XM_052711155.1||full	0.907	0.647	0.553	0.760	0.833	0.907	dsDNAphage	6299	0	50.000	0.000
XM_039580537.2||full	0.393	0.887	0.827	0.450	0.967	0.967	lavidaviridae	2368	0	33.300	0.000
