seqname	dsDNAphage	ssDNA	NCLDV	RNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
PV335215.1||full	0.687	0.093	0.333	0.965	0.340	0.965	RNA	11883	1	14.300	0.000
PV357251.1||full	0.713	0.153	0.347	0.990	0.693	0.990	RNA	11744	1	16.700	0.000
PV357252.1||full	0.873	0.147	0.333	1.000	0.820	1.000	RNA	11544	1	20.000	0.000
PV335218.1||full	0.660	0.093	0.340	0.960	0.427	0.960	RNA	11616	1	16.700	0.000
PV335216.1||full	0.740	0.087	0.333	0.980	0.560	0.980	RNA	11543	1	20.000	0.000
PV335217.1||full	0.740	0.087	0.340	0.980	0.567	0.980	RNA	11544	1	20.000	0.000
PV335219.1||full	0.740	0.087	0.333	0.980	0.560	0.980	RNA	11542	1	20.000	0.000
PV335220.1||full	0.640	0.093	0.340	0.960	0.447	0.960	RNA	11616	1	16.700	0.000
PV357254.1||full	0.800	0.587	nan	1.000	0.827	1.000	RNA	6484	1	50.000	0.000
PV335222.1||full	0.727	0.107	0.247	0.995	0.433	0.995	RNA	9224	1	20.000	0.000
PV357255.1||full	0.707	0.533	nan	0.995	0.667	0.995	RNA	4720	1	50.000	0.000
PV335223.1||full	0.733	0.080	0.787	0.980	0.553	0.980	RNA	8858	1	20.000	0.000
PV335221.1||full	0.707	0.093	0.340	0.960	0.420	0.960	RNA	11616	1	16.700	0.000
PV335194.1||full	0.793	0.140	0.327	0.995	0.967	0.995	RNA	12313	1	16.700	0.000
PV335195.1||full	0.793	0.167	0.353	1.000	0.993	1.000	RNA	8766	1	20.000	0.000
PV335198.1||full	0.580	0.453	nan	1.000	0.853	1.000	RNA	8912	1	50.000	0.000
PV335202.1||full	0.687	0.660	nan	1.000	0.513	1.000	RNA	3087	1	33.300	0.000
PV357258.1||full	0.807	0.360	0.640	1.000	0.967	1.000	RNA	9806	1	50.000	0.000
PV335224.1||full	0.413	0.013	0.687	0.970	0.767	0.970	RNA	19566	1	14.300	0.000
PV335225.1||full	0.693	0.207	0.780	1.000	0.847	1.000	RNA	18487	1	20.000	0.000
PV335226.1||full	0.660	0.167	0.507	0.970	0.780	0.970	RNA	18503	1	20.000	0.000
PV335204.1||full	0.407	0.033	0.553	1.000	0.280	1.000	RNA	11713	1	33.300	0.000
PV335205.1||full	0.433	0.047	0.593	1.000	0.700	1.000	RNA	11677	1	33.300	0.000
PV335207.1||full	0.427	0.053	0.587	1.000	0.707	1.000	RNA	11677	1	33.300	0.000
PV335206.1||full	0.447	0.047	0.567	1.000	0.700	1.000	RNA	9754	1	33.300	0.000
PV335208.1||full	0.420	0.087	0.513	1.000	0.633	1.000	RNA	10826	1	33.300	0.000
PV335209.1||full	0.787	1.000	0.367	0.980	0.827	1.000	ssDNA	2030	0	50.000	0.000
PV269761.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1162	1	100.000	0.000
PV269766.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1218	1	100.000	0.000
PV269768.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3066	1	100.000	0.000
PV269767.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3378	1	100.000	0.000
PV274264.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	5613	1	50.000	0.000
PV274263.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	5284	1	100.000	0.000
PV274270.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2429	1	100.000	0.000
PV274271.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1450	1	100.000	0.000
PV274273.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3629	1	100.000	0.000
PV274272.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	4751	1	100.000	0.000
PV274274.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	3129	1	100.000	0.000
PV274275.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1901	1	100.000	0.000
PV287660.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	4088	1	100.000	0.000
PV287663.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2478	1	100.000	0.000
PV287664.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2105	1	100.000	0.000
PV287665.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1074	1	100.000	0.000
PV287668.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1725	1	100.000	0.000
PV287674.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1535	1	100.000	0.000
PV287675.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	1800	1	100.000	0.000
PV287659.1||lt2gene	nan	nan	nan	nan	nan	nan	RNA	2231	1	100.000	0.000
