accession,species,family,novel,pool,length_bp,description
PV269761,Jurua Jon-like virus,Phasmaviridae,Yes,A3_2,1162,"PV269761.1 Jurua Jon-like virus strain A3_2/780/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV269760,Anopheles triannulatus Orthophasmavirus,Phasmaviridae,No,B6_22,1152,"PV269760.1 Anopheles triannulatus orthophasmavirus isolate B6_22/775/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV269766,Jurua Orthophasmavirus,Phasmaviridae,Yes,J27_25,1218,"PV269766.1 Jurua orthophasmavirus strain J27_25/5/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV269768,Coredo virus,Phasmaviridae,No,E15_1,3066,"PV269768.1 Coredo virus strain E15_1/19/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV269767,Coredo virus,Phasmaviridae,No,B5_77,3378,"PV269767.1 Coredo virus strain B5_77/9/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV274264,Coredo-like virus 1,Phasmaviridae,Yes,B5_87,5613,PV274264.1 MAG: Orthophasmavirus sp. isolate B5_87/7/BR2021 cRNA sequence
PV274263,Coredo-like virus 1,Phasmaviridae,Yes,B5_84,5284,PV274263.1 MAG: Orthophasmavirus sp. isolate B5_84/7/BR2021 cRNA sequence
PV274265,Coredo-like virus 1,Phasmaviridae,Yes,D10_17,1827,PV274265.1 MAG: Orthophasmavirus sp. isolate D10_17/30/BR2021 cRNA sequence
PV274268,Coredo-like virus 1,Phasmaviridae,Yes,D11_14,1282,PV274268.1 MAG: Orthophasmavirus sp. isolate D11_14/100/BR2021 cRNA sequence
PV274266,Coredo-like virus 1,Phasmaviridae,Yes,D11_2,2660,PV274266.1 MAG: Orthophasmavirus sp. isolate D11_2/141/BR2021 cRNA sequence
PV274267,Coredo-like virus 1,Phasmaviridae,Yes,D11_6,1195,PV274267.1 MAG: Orthophasmavirus sp. isolate D11_6/167/BR2021 cRNA sequence
PV274269,Coredo-like virus 1,Phasmaviridae,Yes,I24_22,2317,PV274269.1 MAG: Orthophasmavirus sp. isolate I24_22/11/BR2022 cRNA sequence
PV274270,Coredo-like virus 2,Phasmaviridae,Yes,C7_12,2429,PV274270.1 MAG: Orthophasmavirus sp. isolate C7_12/19/BR2021 cRNA sequence
PV274271,Coredo-like virus 2,Phasmaviridae,Yes,C8_15,1450,PV274271.1 MAG: Orthophasmavirus sp. isolate C8_15/82/BR2021 cRNA sequence
PV274273,Coredo-like virus 2,Phasmaviridae,Yes,D10_8,3629,PV274273.1 MAG: Orthophasmavirus sp. isolate D10_8/18/BR2021 cRNA sequence
PV274272,Coredo-like virus 2,Phasmaviridae,Yes,D10_16,4751,PV274272.1 MAG: Orthophasmavirus sp. isolate D10_16/3/BR2021 cRNA sequence
PV274274,Coredo-like virus 2,Phasmaviridae,Yes,E14_14,3129,PV274274.1 MAG: Orthophasmavirus sp. isolate E14_14/35/BR2021 cRNA sequence
PV274275,Coredo-like virus 2,Phasmaviridae,Yes,F16_7,1901,PV274275.1 MAG: Orthophasmavirus sp. isolate F16_7/34/BR2021 cRNA sequence
PV287660,Coredo-like virus 3,Phasmaviridae,Yes,B4_59,4088,"PV287660.1 Coredo-like virus 3 isolate B4_59/8/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287663,Coredo-like virus 3,Phasmaviridae,Yes,B4_96,2478,"PV287663.1 Coredo-like virus 3 isolate B4_96/22/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287664,Coredo-like virus 3,Phasmaviridae,Yes,B5_100,2105,"PV287664.1 Coredo-like virus 3 isolate B5_100/3/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287665,Coredo-like virus 3,Phasmaviridae,Yes,B5_2,1074,"PV287665.1 Coredo-like virus 3 isolate B5_2/984/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287668,Coredo-like virus 3,Phasmaviridae,Yes,I24_20,1725,"PV287668.1 Coredo-like virus 3 isolate I24_20/37/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287669,Coredo-like virus 3,Phasmaviridae,Yes,I24_2,1336,"PV287669.1 Coredo-like virus 3 isolate I24_2/44/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287673,Coredo-like virus 3,Phasmaviridae,Yes,J26_21,2148,"PV287673.1 Coredo-like virus 3 isolate J26_21/216/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287674,Coredo-like virus 3,Phasmaviridae,Yes,J26_9,1535,"PV287674.1 Coredo-like virus 3 isolate J26_9/180/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287675,Coredo-like virus 3,Phasmaviridae,Yes,J27_24,1800,"PV287675.1 Coredo-like virus 3 isolate J27_24/85/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287659,Coredo-like virus 3,Phasmaviridae,Yes,A3_18,2231,"PV287659.1 Coredo-like virus 3 isolate A3_18/51/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287666,Coredo-like virus 3,Phasmaviridae,Yes,I23_2,1028,"PV287666.1 Coredo-like virus 3 isolate I23_2/148/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287670,Coredo-like virus 3,Phasmaviridae,Yes,I24_5,1757,"PV287670.1 Coredo-like virus 3 isolate I24_5/15/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287672,Coredo-like virus 3,Phasmaviridae,Yes,J26_19,1006,"PV287672.1 Coredo-like virus 3 isolate J26_19/389/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287661,Coredo-like virus 3,Phasmaviridae,Yes,B4_60,3950,"PV287661.1 Coredo-like virus 3 isolate B4_60/13/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287671,Coredo-like virus 3,Phasmaviridae,Yes,I25_31,2709,"PV287671.1 Coredo-like virus 3 isolate I25_31/6/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287662,Coredo-like virus 3,Phasmaviridae,Yes,B4_82,3071,"PV287662.1 Coredo-like virus 3 isolate B4_82/35/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
PV287667,Coredo-like virus 3,Phasmaviridae,Yes,I23_87,3980,"PV287667.1 Coredo-like virus 3 isolate I23_87/2/BR2022 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
