seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
PV335197.1	10239	No terminal repeats	NA	1	11	0.9995	0.0005	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae
PV357258.1	9912	No terminal repeats	NA	2	11	0.9995	0.0005	1	3.4366	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Mesoniviridae
PV335200.1	3477	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
PV335203.1	3442	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
PV287674.1	1535	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287659.1	2231	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287670.1	1757	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287675.1	1800	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335208.1	10990	No terminal repeats	NA	3	11	0.9995	0.0005	3	5.1548	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
PV269766.1	1218	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287666.1	1028	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335225.1	19776	No terminal repeats	NA	4	11	0.9995	0.0005	1	3.4366	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Mesoniviridae
PV335201.1	2954	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae
PV287663.1	2478	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287672.1	1006	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335212.1	1195	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;
PV335187.1	6425	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Hareavirales;Phenuiviridae
PV287677.1	4109	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Hareavirales;Phenuiviridae
PV287660.1	4088	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV357256.1	2127	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
PV335210.1	1252	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;
PV287661.1	3950	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV287664.1	2105	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
PV335190.1	3129	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Hareavirales;Phenuiviridae
PV287665.1	1074	No terminal repeats	NA	1	11	0.9995	0.0005	1	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Bunyaviricetes;Elliovirales;Phasmaviridae
