seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_JAWHTO010000238.1	2788	No terminal repeats	NA	4	11	0.9993	0.0007	2	5.4293	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000114.1	735	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000026.1	2762	No terminal repeats	NA	4	11	0.9993	0.0007	3	4.4618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855734.1	2428	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000167.1	1476	No terminal repeats	NA	4	11	0.9993	0.0007	3	6.4719	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWHTO010000242.1	917	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000095.1	522	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000051.1	544	No terminal repeats	NA	2	11	0.9993	0.0007	1	2.6419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855739.1	1630	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000003.1	3637	No terminal repeats	NA	4	11	0.9993	0.0007	2	5.4293	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000061.1	865	No terminal repeats	NA	2	11	0.9993	0.0007	1	3.0354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000173.1	2124	No terminal repeats	NA	5	11	0.9993	0.0007	4	7.8146	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000113.1	735	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAFEVH010000071.1	4948	No terminal repeats	NA	7	11	0.9993	0.0007	4	10.3436	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000012.1	5716	No terminal repeats	NA	8	11	0.9993	0.0007	2	7.2220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000146.1	708	No terminal repeats	NA	3	11	0.9993	0.0007	1	3.4319	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855741.1	1430	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000148.1	1453	No terminal repeats	NA	3	11	0.9993	0.0007	2	4.7537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000109.1	2766	No terminal repeats	NA	3	11	0.9993	0.0007	1	2.7874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000094.1	504	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855737.1	1421	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000054.1	1014	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855742.1	1691	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049690964.1	3090	No terminal repeats	NA	1	11	0.9993	0.0007	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000041.1	1133	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.3218	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000115.1	725	No terminal repeats	NA	3	11	0.9993	0.0007	1	3.1682	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_085035996.1	4181	No terminal repeats	NA	1	11	0.9993	0.0007	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_021855736.1	2489	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000074.1	5055	No terminal repeats	NA	10	11	0.9993	0.0007	7	14.9804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000106.1	865	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_039577835.2	2961	No terminal repeats	NA	1	11	0.9993	0.0007	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Chimalliviridae
XM_021855738.1	1482	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.4221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000148.1	697	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.3218	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000037.1	637	No terminal repeats	NA	1	11	0.9993	0.0007	1	1.5278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000110.1	629	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.2716	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAUCRB010000008.1	4869	No terminal repeats	NA	6	11	0.9993	0.0007	0	1.7027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
NZ_JAWLJC010000127.1	893	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000099.1	794	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000123.1	883	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000043.1	2055	No terminal repeats	NA	4	11	0.9993	0.0007	4	6.0717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JQAM01000043.1	663	No terminal repeats	NA	2	11	0.9993	0.0007	1	3.0354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000035.1	2819	No terminal repeats	NA	3	11	0.9993	0.0007	1	4.3256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
NZ_JBIXJM010000206.1	2074	No terminal repeats	NA	3	11	0.9993	0.0007	2	3.0099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000235.1	4886	No terminal repeats	NA	5	11	0.9993	0.0007	3	5.8674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000111.1	746	No terminal repeats	NA	2	11	0.9993	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000108.1	1626	No terminal repeats	NA	5	11	0.9993	0.0007	4	6.2126	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000163.1	1981	No terminal repeats	NA	4	11	0.9993	0.0007	2	3.0099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000044.1	705	No terminal repeats	NA	3	11	0.9993	0.0007	1	1.4371	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000084.1	558	No terminal repeats	NA	1	11	0.9992	0.0007	1	1.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JQAM01000002.1	7597	No terminal repeats	NA	13	11	0.9992	0.0007	6	10.6272	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000133.1	3284	No terminal repeats	NA	4	11	0.9992	0.0007	0	5.4238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
NZ_JAWLJC010000101.1	6765	No terminal repeats	NA	6	11	0.9992	0.0007	2	2.8376	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000093.1	853	No terminal repeats	NA	3	11	0.9992	0.0007	3	4.7793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000025.1	4040	No terminal repeats	NA	8	11	0.9992	0.0007	4	8.9842	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAFEVH010000072.1	4722	No terminal repeats	NA	4	11	0.9992	0.0007	1	1.4495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000109.1	616	No terminal repeats	NA	1	11	0.9992	0.0007	1	1.2791	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000034.1	1458	No terminal repeats	NA	2	11	0.9992	0.0007	1	1.7158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000231.1	1356	No terminal repeats	NA	2	11	0.9992	0.0007	1	1.2484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWHTO010000123.1	1165	No terminal repeats	NA	2	11	0.9992	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000136.1	1192	No terminal repeats	NA	3	11	0.9992	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000027.1	3335	No terminal repeats	NA	3	11	0.9992	0.0007	2	2.3419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000098.1	1276	No terminal repeats	NA	3	11	0.9992	0.0007	3	4.7755	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000036.1	758	No terminal repeats	NA	3	11	0.9992	0.0007	1	1.2916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000100.1	5289	No terminal repeats	NA	4	11	0.9991	0.0007	0	3.4296	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_039577836.2	2956	No terminal repeats	NA	1	11	0.9991	0.0007	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Chimalliviridae
NZ_JBIXJL010000053.1	2189	No terminal repeats	NA	3	11	0.9991	0.0007	1	1.4597	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000053.1	7228	No terminal repeats	NA	7	11	0.9991	0.0007	2	2.9489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000254.1	1460	No terminal repeats	NA	2	11	0.9991	0.0007	1	1.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAZHPY010000110.1	2609	No terminal repeats	NA	6	11	0.9990	0.0007	0	1.4488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_CAOH01000001.1	4157	No terminal repeats	NA	4	11	0.9990	0.0007	2	3.1557	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000119.1	4003	No terminal repeats	NA	9	11	0.9990	0.0007	2	5.9352	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000026.1	787	No terminal repeats	NA	1	11	0.9989	0.0007	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000214.1	3600	No terminal repeats	NA	5	11	0.9989	0.0007	2	2.8376	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAWLJC010000071.1	7984	No terminal repeats	NA	9	11	0.9988	0.0007	4	8.7716	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000027.1	921	No terminal repeats	NA	1	11	0.9988	0.0008	1	1.3617	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JBIXJM010000122.1	3339	No terminal repeats	NA	5	11	0.9988	0.0008	1	1.2306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000069.1	7083	No terminal repeats	NA	7	11	0.9988	0.0008	1	4.1291	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NZ_JAHDJT010000132.1	3313	No terminal repeats	NA	3	11	0.9987	0.0008	0	3.9317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Herelleviridae
XM_049689363.1	10176	No terminal repeats	NA	2	11	0.9987	0.0008	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
