accession,component,length_bp
NM_001358332.1,Aedes_aegypti_mRNA,3590
NM_001358333.1,Aedes_aegypti_mRNA,2528
NM_001358250.1,Aedes_aegypti_mRNA,3548
NM_001358193.1,Aedes_aegypti_mRNA,1581
NM_001358927.1,Aedes_aegypti_mRNA,12025
NM_001358926.1,Aedes_aegypti_mRNA,12446
NM_001407567.1,Aedes_aegypti_mRNA,704
NM_001359032.1,Aedes_aegypti_mRNA,5312
NM_001358471.1,Aedes_aegypti_mRNA,2263
NM_001358887.1,Aedes_aegypti_mRNA,1176
NM_001358776.1,Aedes_aegypti_mRNA,1164
NM_001358794.1,Aedes_aegypti_mRNA,1245
NM_001358707.1,Aedes_aegypti_mRNA,1389
NM_001358639.1,Aedes_aegypti_mRNA,2100
NM_001358617.1,Aedes_aegypti_mRNA,1104
NM_001358586.1,Aedes_aegypti_mRNA,1197
NM_001358579.1,Aedes_aegypti_mRNA,1182
NM_001358554.1,Aedes_aegypti_mRNA,1335
NM_001358548.1,Aedes_aegypti_mRNA,1254
NM_001358384.1,Aedes_aegypti_mRNA,1569
NM_001358360.1,Aedes_aegypti_mRNA,1551
NM_001358324.1,Aedes_aegypti_mRNA,1134
NM_001358318.1,Aedes_aegypti_mRNA,1785
NM_001358130.1,Aedes_aegypti_mRNA,1209
NM_001358173.1,Aedes_aegypti_mRNA,1227
NM_001354160.1,Aedes_aegypti_mRNA,1965
NM_001408486.1,Aedes_aegypti_mRNA,10614
NM_001408449.1,Aedes_aegypti_mRNA,3073
NM_001408488.1,Aedes_aegypti_mRNA,7472
NM_001408487.1,Aedes_aegypti_mRNA,7502
NM_001407643.1,Aedes_aegypti_mRNA,6979
NM_001359028.1,Aedes_aegypti_mRNA,3344
NM_001358953.1,Aedes_aegypti_mRNA,1851
NM_001358124.1,Aedes_aegypti_mRNA,2088
NM_001358132.1,Aedes_aegypti_mRNA,1863
NM_001407754.1,Aedes_aegypti_mRNA,1333
NM_001358923.1,Aedes_aegypti_mRNA,2199
NM_001358925.1,Aedes_aegypti_mRNA,5822
NM_001358116.1,Aedes_aegypti_mRNA,2653
NM_001358154.1,Aedes_aegypti_mRNA,1628
NM_001358128.1,Aedes_aegypti_mRNA,1499
NM_001408515.1,Aedes_aegypti_mRNA,3617
NM_001358385.1,Aedes_aegypti_mRNA,2597
NM_001408919.1,Aedes_aegypti_mRNA,849
NM_001358981.1,Aedes_aegypti_mRNA,803
NM_001358962.1,Aedes_aegypti_mRNA,1796
NM_001358827.1,Aedes_aegypti_mRNA,1237
NM_001358734.1,Aedes_aegypti_mRNA,3344
NM_001358601.1,Aedes_aegypti_mRNA,1381
NM_001358615.1,Aedes_aegypti_mRNA,1098
NM_001358600.1,Aedes_aegypti_mRNA,1333
NM_001358602.1,Aedes_aegypti_mRNA,1411
NM_001358508.1,Aedes_aegypti_mRNA,1660
NM_001358509.1,Aedes_aegypti_mRNA,1721
NM_001358505.1,Aedes_aegypti_mRNA,1760
NM_001358470.1,Aedes_aegypti_mRNA,1673
NM_001358467.1,Aedes_aegypti_mRNA,1682
NM_001358475.1,Aedes_aegypti_mRNA,1719
NM_001358458.1,Aedes_aegypti_mRNA,1197
NM_001358466.1,Aedes_aegypti_mRNA,1736
NM_001358420.1,Aedes_aegypti_mRNA,1488
NM_001358329.1,Aedes_aegypti_mRNA,3407
NM_001358277.1,Aedes_aegypti_mRNA,1514
NM_001358274.1,Aedes_aegypti_mRNA,1663
NM_001358276.1,Aedes_aegypti_mRNA,1555
NM_001358275.1,Aedes_aegypti_mRNA,1552
NM_001358278.1,Aedes_aegypti_mRNA,1506
NM_001358218.1,Aedes_aegypti_mRNA,1996
NM_001358228.1,Aedes_aegypti_mRNA,2250
NM_001358248.1,Aedes_aegypti_mRNA,1661
NM_001358215.1,Aedes_aegypti_mRNA,2520
NM_001358222.1,Aedes_aegypti_mRNA,1835
NM_001358226.1,Aedes_aegypti_mRNA,1747
NM_001358099.2,Aedes_aegypti_mRNA,2314
NM_001358251.1,Aedes_aegypti_mRNA,2586
NM_001358110.1,Aedes_aegypti_mRNA,1711
NM_001358115.1,Aedes_aegypti_mRNA,1574
NM_001358153.1,Aedes_aegypti_mRNA,1966
NM_001358140.1,Aedes_aegypti_mRNA,1210
NM_001358109.1,Aedes_aegypti_mRNA,1769
NM_001358125.1,Aedes_aegypti_mRNA,1882
NM_001358164.1,Aedes_aegypti_mRNA,1469
NM_001358160.1,Aedes_aegypti_mRNA,1212
NM_001358170.1,Aedes_aegypti_mRNA,3070
NM_001358184.1,Aedes_aegypti_mRNA,1450
NM_001358200.1,Aedes_aegypti_mRNA,1540
NM_001358181.1,Aedes_aegypti_mRNA,1543
NM_001358104.1,Aedes_aegypti_mRNA,1307
NM_001358165.1,Aedes_aegypti_mRNA,1331
NM_001358114.1,Aedes_aegypti_mRNA,1359
NM_001358105.1,Aedes_aegypti_mRNA,2569
NM_001358106.1,Aedes_aegypti_mRNA,2581
NM_001358122.1,Aedes_aegypti_mRNA,1711
NM_001358139.1,Aedes_aegypti_mRNA,1820
NM_001358111.1,Aedes_aegypti_mRNA,1353
NM_001358098.1,Aedes_aegypti_mRNA,2448
NM_001358093.1,Aedes_aegypti_mRNA,1326
NM_001358097.1,Aedes_aegypti_mRNA,1705
NM_001358056.1,Aedes_aegypti_mRNA,1290
NM_001358047.1,Aedes_aegypti_mRNA,1320
NM_001355117.1,Aedes_aegypti_mRNA,1538
NM_001355116.1,Aedes_aegypti_mRNA,1540
NM_001408115.1,Aedes_aegypti_mRNA,4551
NM_001408126.1,Aedes_aegypti_mRNA,574
NM_001407497.1,Aedes_aegypti_mRNA,1122
NM_001408607.1,Aedes_aegypti_mRNA,537
NM_001408417.1,Aedes_aegypti_mRNA,1811
NM_001408596.1,Aedes_aegypti_mRNA,10550
NM_001408516.1,Aedes_aegypti_mRNA,10837
NM_001408390.1,Aedes_aegypti_mRNA,841
NM_001408405.1,Aedes_aegypti_mRNA,1111
NM_001407360.1,Aedes_aegypti_mRNA,1615
NM_001407359.1,Aedes_aegypti_mRNA,1990
NM_001407358.1,Aedes_aegypti_mRNA,1690
NM_001408379.1,Aedes_aegypti_mRNA,555
NM_001408378.1,Aedes_aegypti_mRNA,7172
NM_001408380.1,Aedes_aegypti_mRNA,1167
NM_001408385.1,Aedes_aegypti_mRNA,1043
NM_001408337.1,Aedes_aegypti_mRNA,1378
NM_001408384.1,Aedes_aegypti_mRNA,974
NM_001408338.1,Aedes_aegypti_mRNA,694
NM_001408264.1,Aedes_aegypti_mRNA,2422
NM_001408254.1,Aedes_aegypti_mRNA,10330
NM_001408279.1,Aedes_aegypti_mRNA,533
NM_001408260.1,Aedes_aegypti_mRNA,848
NM_001408278.1,Aedes_aegypti_mRNA,626
NM_001408256.1,Aedes_aegypti_mRNA,1356
NM_001408232.1,Aedes_aegypti_mRNA,525
NM_001408095.1,Aedes_aegypti_mRNA,1760
NM_001408056.1,Aedes_aegypti_mRNA,1855
NM_001408057.1,Aedes_aegypti_mRNA,1821
NM_001407537.1,Aedes_aegypti_mRNA,3308
NM_001407421.1,Aedes_aegypti_mRNA,1002
NM_001407439.1,Aedes_aegypti_mRNA,786
NM_001408124.1,Aedes_aegypti_mRNA,1704
NM_001408111.1,Aedes_aegypti_mRNA,1725
NM_001408113.1,Aedes_aegypti_mRNA,1790
NM_001408088.1,Aedes_aegypti_mRNA,878
NM_001408105.1,Aedes_aegypti_mRNA,3425
NM_001408040.1,Aedes_aegypti_mRNA,2842
NM_001408039.1,Aedes_aegypti_mRNA,2783
NM_001408035.1,Aedes_aegypti_mRNA,543
NM_001408041.1,Aedes_aegypti_mRNA,2307
NM_001408036.1,Aedes_aegypti_mRNA,542
NM_001408034.1,Aedes_aegypti_mRNA,933
NM_001407755.1,Aedes_aegypti_mRNA,935
NM_001407762.1,Aedes_aegypti_mRNA,779
NM_001407693.1,Aedes_aegypti_mRNA,1752
NM_001407756.1,Aedes_aegypti_mRNA,894
NM_001407759.1,Aedes_aegypti_mRNA,2760
NM_001407650.1,Aedes_aegypti_mRNA,1718
NM_001407568.1,Aedes_aegypti_mRNA,917
NM_001407551.1,Aedes_aegypti_mRNA,2453
NM_001407495.1,Aedes_aegypti_mRNA,755
NM_001407489.1,Aedes_aegypti_mRNA,987
