name	len	score	pvalue
NM_001358318.1 Aedes aegypti ionotropic receptor 7r (Ir7r), mRNA	1785	0.9647974371910095	0.011632298511972203
NM_001358548.1 Aedes aegypti gustatory receptor 46 (Gr46), mRNA	1254	0.8917708396911621	0.0183359770375406
NM_001358132.1 Aedes aegypti Gustatory receptor 43a (Gr43a), transcript variant 1, mRNA	1863	0.18158121407032013	0.15327819321701036
NM_001358116.1 Aedes aegypti Gustatory receptor 21a (Gr21a), mRNA	2653	0.4959123134613037	0.06626255759498452
NM_001358360.1 Aedes aegypti ionotropic receptor 160 (Ir160), mRNA	1551	0.6578052043914795	0.03652088526323741
NM_001358579.1 Aedes aegypti gustatory receptor 54 (Gr54), mRNA	1182	0.6042982339859009	0.04177052647480928
NM_001358173.1 Aedes aegypti odorant receptor 66 (Or66), mRNA	1227	0.4688458740711212	0.07787597250547625
NM_001358953.1 Aedes aegypti Gustatory receptor 43a (Gr43a), transcript variant 2, mRNA	1851	0.1565321981906891	0.1621534859128333
NM_001358776.1 Aedes aegypti odorant receptor 75 (Or75), mRNA	1164	0.9704343676567078	0.010725885640909434
NM_001358617.1 Aedes aegypti gustatory receptor 69 (Gr69), mRNA	1104	0.998962938785553	0.0037011858901729736
NM_001358471.1 Aedes aegypti odorant receptor co-receptor (Orco), mRNA	2263	0.28849124908447266	0.12236573759347383
NM_001358707.1 Aedes aegypti gustatory receptor 75 (Gr75), mRNA	1389	0.9481533765792847	0.013860563486668177
NM_001408488.1 Aedes aegypti tay bridge kinase (tay), transcript variant 3, mRNA	7472	0.26388925313949585	0.12861620968351084
NM_001358250.1 Aedes aegypti ionotropic receptor 8a (Ir8a), mRNA	3548	0.5476964712142944	0.04917289825515522
NM_001408486.1 Aedes aegypti tay bridge kinase (tay), transcript variant 1, mRNA	10614	0.19060420989990234	0.15003021376236875
NM_001358332.1 Aedes aegypti ionotropic receptor 25a (Ir25a), mRNA	3590	0.7470091581344604	0.029326233099176674
NM_001358923.1 Aedes aegypti Dopamine 1-like receptor 1 (Dop1R1), mRNA	2199	0.16696977615356445	0.15820681320341415
NM_001358927.1 Aedes aegypti spectrin and immunoglobulin domain-containing protein zormin (zormin), transcript variant 2, mRNA	12025	0.10332104563713074	0.18787295112923938
NM_001358130.1 Aedes aegypti odorant receptor 73 (Or73), mRNA	1209	0.9803750514984131	0.009252964725432435
NM_001358324.1 Aedes aegypti odorant receptor 9 (Or9), mRNA	1134	0.5214735269546509	0.054177052647480926
NM_001407754.1 Aedes aegypti Cuticular protein 97Eb (Cpr97Eb), mRNA	1333	0.022990575060248375	0.285350101971448
NM_001358154.1 Aedes aegypti Odorant receptor 83a (Or83a), mRNA	1628	0.24573171138763428	0.1334315280610318
NM_001358384.1 Aedes aegypti ionotropic receptor 169 (Ir169), mRNA	1569	0.978093683719635	0.00953621874763955
NM_001407567.1 Aedes aegypti C-type lectin 37Da (LOC5563672), mRNA	704	0.9154578447341919	0.02709364240155036
NM_001407643.1 Aedes aegypti transcriptional regulator additional sex combs (Asx), mRNA	6979	0.04679282009601593	0.23889644232948107
NM_001354160.1 Aedes aegypti homeotic protein proboscipedia (pb), mRNA	1965	0.9548294544219971	0.01304856862300778
NM_001358124.1 Aedes aegypti Gustatory receptor 66a (Gr66a), mRNA	2088	0.8537188768386841	0.0212818188684946
NM_001358554.1 Aedes aegypti gustatory receptor 48 (Gr48), mRNA	1335	0.882608950138092	0.0190724374952791
NM_001358794.1 Aedes aegypti odorant receptor 60 (Or60), mRNA	1245	0.999294638633728	0.003115794244278269
