name	len	score	pvalue
PV269761.1 Jurua Jon-like virus strain A3_2/780/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1162	0.5406166315078735	0.05041921595286653
PV269760.1 Anopheles triannulatus orthophasmavirus isolate B6_22/775/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	1152	0.9385428428649902	0.014936928771055215
PV335191.1 Alajuela virus strain F17_5/2/BR2021 segment L, complete sequence	6934	0.7520630359649658	0.029137397084371932
PV335215.1 Merida virus isolate C8_31/BR2021, complete genome	12006	0.7906511425971985	0.026116020847496035
PV357251.1 Merida virus isolate C7_13/BR2021 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (RdRp) genes, complete cds	11865	0.7378373146057129	0.030024926353954227
PV357252.1 Merida virus isolate F16_1/BR2021 nucleoprotein (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (RdRp) genes, complete cds	11779	0.7002542018890381	0.03295188458342775
PV335218.1 Merida virus isolate G19_1/BR2021, complete genome	11777	0.7925177812576294	0.02596495203565224
PV335216.1 Merida virus isolate F16_2/BR2021, complete genome	11775	0.802702009677887	0.0249641211571871
PV335217.1 Merida virus isolate F16_9/BR2021, complete genome	11773	0.7085410356521606	0.03247979454641589
PV335219.1 Merida virus isolate G19_4/BR2021, complete genome	11766	0.6916353702545166	0.03383941385301004
PV357253.1 Merida virus isolate G19_2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	5921	0.6016550064086914	0.04214819850441876
PV335220.1 Merida virus isolate H22_1/BR2021, complete genome	11766	0.7396517992019653	0.02991162474507138
PV357254.1 Merida virus isolate H22_2/BR2021 RNA-dependent RNA polymerase (RdRp) gene, complete cds	6963	0.7764651775360107	0.027192386131883073
PV335222.1 Merida virus isolate H22_3/BR2021, partial genome	9346	0.8649125099182129	0.02050759120779515
PV357255.1 Merida virus isolate H22_5/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	4759	0.6652804613113403	0.03589772641438175
PV335223.1 Merida virus isolate H22_8/BR2021, partial genome	8984	0.8959715962409973	0.01803383941385301
PV357256.1 Merida virus isolate H22_9/BR2021 RNA-dependent RNA polymerase gene, partial cds	2127	0.8132530450820923	0.02418989349648765
PV357257.1 Merida virus isolate H22_10/BR2021 RNA-dependent RNA polymerase (RdRp) gene, partial cds	2489	0.3956431448459625	0.097571568849611
PV335221.1 Merida virus isolate H22_12/BR2021, complete genome	11766	0.8005332350730896	0.025209607976433266
PV335194.1 Anopheles darlingi virus isolate M36_2/2/BR2022, complete genome	12506	0.7169979214668274	0.031667799682755494
PV335195.1 Anopheles darlingi virus isolate M37_4/1/BR2022, complete genome	8975	0.6182899475097656	0.040240954754890854
PV335196.1 Opsiphanes invirae iflavirus 1 isolate E14_41/1/BR2021, complete genome	10155	0.5878807306289673	0.04369665382581766
PV335197.1 Jurua iflavirus 1 isolate G20_6/1/BR2021, complete genome	10239	0.8282616138458252	0.023113528212100613
PV335198.1 Jurua iflavirus 2 isolate I23_2/1/BR2022 polyprotein gene, partial cds	9185	0.5953319072723389	0.04296019336807916
PV335199.1 Jurua iflavirus 3 isolate C7_10/152/BR2021 polyprotein gene, partial cds	2406	0.9577211141586304	0.012689780194878767
PV335214.1 Jurua iflavirus 4 isolate E14_28/46/BR2021 polyprotein gene, partial cds	2031	0.9209047555923462	0.016277664476168893
PV335213.1 Jurua iflavirus 4 isolate A1_28/522/BR2021 polyprotein gene, partial cds	1549	0.5624486207962036	0.04654807764936929
PV335202.1 Culex flavivirus isolate G19_2/50/BR2021 polyprotein gene, partial cds	3088	0.9902105927467346	0.00732683737442405
PV335200.1 Culex flavivirus isolate C9_17/18/BR2021 polyprotein gene, partial cds	3477	0.8230287432670593	0.023472316640229626
PV335201.1 Culex flavivirus isolate F16_9/7/BR2021 polyprotein gene, partial cds	2954	0.9667981266975403	0.011424578895686986
PV335203.1 Culex flavivirus isolate G21_2/91/BR2021 polyprotein gene, partial cds	3442	0.9899721145629883	0.007421255381826422
PV357258.1 Alphamesonivirus cavallyense isolate H22_5/2/BR2021 Polyprotein 1a (ORF1a) gene, partial cds; and Polyprotein 1b (ORF1b) gene, complete cds	9912	0.9511692523956299	0.013501775058539165
PV335224.1 Alphamesonivirus 1 isolate G19_1/1/BR2021 complete genome	20816	0.6426573991775513	0.03772943575798776
PV335225.1 Carauari mesonivirus isolate M36_2/1/BR2022 complete genome	19776	0.979059100151062	0.009422917138756703
PV335226.1 Jurua mesonivirus isolate G21_1/1/BR2021 complete genome	20449	0.9620137214660645	0.012085504947503588
PV335204.1 Caaingua virus isolate K30_25/2/BR2022, partial genome	12091	0.4837881624698639	0.0723053100687363
PV335205.1 Caaingua virus isolate K31_1/1/BR2022, complete genome	12052	0.4417478144168854	0.08576931792431453
PV335207.1 Caaingua virus isolate L34_14/1/BR2022, complete genome	12041	0.3063702881336212	0.11766372082483571
